index,y1,y2,y3,y4,y5,y6,y7,y8,y10,y11,y12,y14,y15,y17,y19,y20,y22,y23,y26,n27,n28,n29,n30,n31,n32,n33,n34,n36,n37,n38,n40,n41,n43,n45,n46,n48,n49,n52,n53,n54,n55,n56,n57,n58,n59,n60,n62,n63,n64,n66,n67,n69,n71,n72,n74,n75,n78,t79,t80,t81,t82,t83,t84,t85,t86,t88,t89,t90,t92,t93,t95,t97,t98,t100,t101,t104,t105,t106,t107,t108,t109,t110,t111,t112,t114,t115,t116,t118,t119,t121,t123,t124,t126,t127,t130
mq0z1pftb9fb1491f0mq0z1emauzk1mc,1.0,5.0,5.0,2.0,5.0,2.0,2.0,1.0,5.0,2.0,4.0,2.0,4.0,2.0,5.0,5.0,2.0,5.0,1.0,4.0,5.0,3.0,5.0,3.0,4.0,5.0,2.0,5.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,1.0,3.0,5.0,2.0,3.0,5.0,3.0,3.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,1.0,1.0,5.0,4.0,5.0,4.0,5.0,1.0,3.0,5.0,5.0,5.0,5.0
9xkor55metywungy9xkor5f6rhjyubo4,4.0,4.0,5.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0
opb2crl2dnaqzs5q21opb2rkiczpuqfk,4.0,4.0,4.0,2.0,5.0,5.0,2.0,5.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,3.0,4.0,4.0,5.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,1.0,4.0,5.0,5.0,3.0,5.0,4.0,3.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0
58exkvxr5tbkkbmvg58exkvemw0mo0r4,2.0,2.0,4.0,2.0,2.0,5.0,4.0,4.0,5.0,2.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,1.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,1.0,4.0,4.0,1.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,2.0,5.0,4.0,3.0,5.0,5.0,3.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0
2n30a8y1j7yohzf2n3062b74tir8c4gn,2.0,5.0,1.0,5.0,5.0,2.0,2.0,1.0,4.0,5.0,5.0,4.0,4.0,1.0,5.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
3vaqwob2kbf9f3syua3vaqwob2b60mmn,2.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,2.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,4.0,2.0,5.0,1.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,1.0,4.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,2.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0
xl5n6ha4ermq2ihy6cxl5nkmlrem0xyo,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,5.0,5.0,1.0,3.0,5.0,3.0,3.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0
mo1pr8vlw64ueotl5tlr5mo1pr8vtc4t,4.0,2.0,5.0,1.0,5.0,4.0,1.0,5.0,5.0,2.0,5.0,5.0,2.0,4.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,1.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,5.0,5.0,3.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,2.0,2.0,5.0,4.0,5.0,5.0,3.0,5.0,3.0,3.0,5.0,4.0,4.0
0q36mwytqaagdeo0i0q36ils99vvr7yl,4.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,4.0,2.0,5.0,4.0,4.0,2.0,5.0,4.0,4.0,2.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,1.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,1.0,3.0,4.0,5.0,5.0,3.0,5.0,1.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,1.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
3w7wit6swyhwmtu3w7wxicfmwsedtmqp,2.0,1.0,5.0,5.0,2.0,5.0,2.0,5.0,1.0,4.0,4.0,5.0,4.0,4.0,5.0,1.0,5.0,1.0,5.0,4.0,3.0,1.0,3.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,1.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,5.0,4.0,2.0,5.0,5.0,5.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,3.0,2.0,5.0,4.0,3.0,5.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,5.0,4.0,5.0,4.0
ajwh5czlqsobaj5gpqj7flntalbp5yhx,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,4.0,1.0,5.0,1.0,4.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,5.0,4.0,3.0,1.0,3.0,4.0,5.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,1.0,4.0,3.0,4.0,4.0,3.0,2.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,5.0,2.0,2.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0
7gbgdlboxfgszl47xbkt7gbgw4fobbhf,4.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,5.0,5.0,4.0,4.0,1.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,1.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,5.0,2.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,3.0,5.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,2.0,5.0,2.0,5.0,3.0,5.0,5.0
14fdq24rb663809r3t5ajs14fdq45e8k,4.0,2.0,2.0,2.0,2.0,1.0,5.0,5.0,4.0,2.0,5.0,1.0,4.0,2.0,5.0,5.0,2.0,4.0,5.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,5.0,3.0,5.0,2.0,1.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0
qalptyo5f6dxok2hwyqalptytjulja36,4.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,4.0,5.0,2.0,4.0,2.0,1.0,5.0,5.0,2.0,1.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,2.0,3.0,5.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0
